,id,date,confirmed,location_id
207,592,2020-04-20,1170,14
208,593,2020-04-21,1199,14
209,594,2020-04-22,1224,14
210,595,2020-04-23,1252,14
211,596,2020-04-24,1281,14
212,597,2020-04-25,1304,14
213,598,2020-04-26,1331,14
214,599,2020-04-27,1353,14
215,600,2020-04-28,1377,14
216,601,2020-04-29,1408,14
217,602,2020-04-30,1446,14
218,603,2020-05-01,1507,14
219,604,2020-05-02,1598,14
220,605,2020-05-03,1624,14
221,606,2020-05-04,1651,14
222,607,2020-03-05,1,15
223,608,2020-03-07,1,15
224,609,2020-03-08,2,15
225,610,2020-03-09,6,15
226,611,2020-03-11,7,15
227,612,2020-03-12,8,15
228,613,2020-03-13,10,15
229,614,2020-03-14,11,15
230,615,2020-03-15,12,15
231,616,2020-03-16,12,15
232,617,2020-03-17,16,15
233,618,2020-03-18,19,15
234,619,2020-03-19,22,15
235,620,2020-03-20,23,15
236,621,2020-03-21,26,15
237,622,2020-03-22,35,15
238,623,2020-03-23,60,15
239,624,2020-03-24,80,15
240,625,2020-03-25,91,15
241,626,2020-03-26,134,15
242,627,2020-03-27,0,15
243,628,2020-03-28,156,15
244,629,2020-03-29,167,15
245,630,2020-03-30,171,15
246,631,2020-03-31,179,15
247,632,2020-04-01,186,15
248,633,2020-04-02,206,15
249,634,2020-04-03,215,15
250,635,2020-04-04,232,15
251,636,2020-04-05,246,15
252,637,2020-04-06,257,15
253,638,2020-04-07,0,15
254,639,2020-04-08,354,15
255,640,2020-04-09,387,15
256,641,2020-04-10,412,15
257,642,2020-04-11,418,15
258,643,2020-04-12,443,15
259,644,2020-04-13,465,15
260,645,2020-04-14,489,15
261,646,2020-04-15,519,15
262,647,2020-04-16,539,15
263,648,2020-04-17,591,15
264,649,2020-04-18,604,15
265,650,2020-04-19,617,15
266,651,2020-04-20,639,15
267,652,2020-04-21,671,15
268,653,2020-04-22,758,15
269,654,2020-04-23,807,15
270,655,2020-04-24,841,15
271,656,2020-04-25,841,15
272,657,2020-04-26,863,15
273,658,2020-04-27,902,15
274,659,2020-04-28,919,15
275,660,2020-04-29,956,15
276,661,2020-04-30,980,15
277,662,2020-05-01,1006,15
278,663,2020-05-02,1051,15
279,664,2020-05-03,1076,15
280,665,2020-05-04,1106,15
281,666,2020-03-05,0,16
282,667,2020-03-07,0,16
283,668,2020-03-08,0,16
284,669,2020-03-09,0,16
285,670,2020-03-11,0,16
286,671,2020-03-12,0,16
287,672,2020-03-13,0,16
288,673,2020-03-14,0,16
289,674,2020-03-15,0,16
290,675,2020-03-16,1,16
291,676,2020-03-17,1,16
292,677,2020-03-18,1,16
293,678,2020-03-19,1,16
294,679,2020-03-20,1,16
295,680,2020-03-21,1,16
296,681,2020-03-22,2,16
297,682,2020-03-23,4,16
298,683,2020-03-24,4,16
299,684,2020-03-25,4,16
300,685,2020-03-26,6,16
301,686,2020-03-27,0,16
302,687,2020-03-28,11,16
303,688,2020-03-29,12,16
304,689,2020-03-30,11,16
305,690,2020-03-31,14,16
306,691,2020-04-01,14,16
307,692,2020-04-02,16,16
308,693,2020-04-03,16,16
309,694,2020-04-04,18,16
310,695,2020-04-05,19,16
311,696,2020-04-06,19,16
312,697,2020-04-07,0,16
313,698,2020-04-08,21,16
314,699,2020-04-09,22,16
315,700,2020-04-10,24,16
316,701,2020-04-11,23,16
317,702,2020-04-12,23,16
318,703,2020-04-13,23,16
319,704,2020-04-14,24,16
320,705,2020-04-15,25,16
321,706,2020-04-16,26,16
322,707,2020-04-17,26,16
323,708,2020-04-18,26,16
324,709,2020-04-19,27,16
325,710,2020-04-20,27,16
326,711,2020-04-21,27,16
327,712,2020-04-22,27,16
328,713,2020-04-23,27,16
329,714,2020-04-24,29,16
330,715,2020-04-25,30,16
331,716,2020-04-26,31,16
332,717,2020-04-27,31,16
333,718,2020-04-28,31,16
334,719,2020-04-29,31,16
335,720,2020-04-30,32,16
336,721,2020-05-01,34,16
337,722,2020-05-02,36,16
338,723,2020-05-03,37,16
339,724,2020-05-04,39,16
340,725,2020-03-05,0,17
341,726,2020-03-07,0,17
342,727,2020-03-08,0,17
343,728,2020-03-09,0,17
344,729,2020-03-11,0,17
345,730,2020-03-12,1,17
346,731,2020-03-13,1,17
347,732,2020-03-14,1,17
348,733,2020-03-15,1,17
349,734,2020-03-16,2,17
350,735,2020-03-17,2,17
351,736,2020-03-18,4,17
352,737,2020-03-19,5,17
353,738,2020-03-20,5,17
354,739,2020-03-21,5,17
355,740,2020-03-22,5,17
356,741,2020-03-23,9,17
357,742,2020-03-24,9,17
358,743,2020-03-25,8,17
359,744,2020-03-26,9,17
360,745,2020-03-27,0,17
361,746,2020-03-28,10,17
362,747,2020-03-29,11,17
363,748,2020-03-30,11,17
364,749,2020-03-31,12,17
365,750,2020-04-01,12,17
366,961,2020-05-05,838,12
367,962,2020-05-06,849,12
368,963,2020-05-05,128,13
369,964,2020-05-06,130,13
370,965,2020-05-05,1697,14
371,966,2020-05-06,1720,14
372,967,2020-05-05,1142,15
373,968,2020-05-06,1149,15
374,969,2020-05-05,40,16
375,970,2020-05-06,40,16
376,971,2020-05-05,57,17
377,972,2020-05-06,57,17
378,973,2020-05-05,26,18
379,974,2020-05-06,26,18
380,975,2020-05-05,35,19
381,976,2020-05-06,37,19
382,977,2020-05-05,3609,20
383,978,2020-05-06,3760,20
384,979,2020-05-07,929,12
385,980,2020-05-08,989,12
386,981,2020-05-09,1078,12
387,982,2020-05-07,134,13
388,983,2020-05-08,133,13
389,984,2020-05-09,134,13
390,985,2020-05-07,1804,14
391,986,2020-05-08,1851,14
392,987,2020-05-09,1910,14
393,988,2020-05-07,1204,15
394,989,2020-05-08,1253,15
395,990,2020-05-09,1308,15
396,991,2020-05-07,41,16
397,992,2020-05-08,43,16
398,993,2020-05-09,51,16
399,994,2020-05-07,59,17
400,995,2020-05-08,60,17
401,996,2020-05-09,61,17
402,997,2020-05-07,27,18
403,998,2020-05-08,27,18
404,999,2020-05-09,28,18
405,1000,2020-05-07,40,19
406,1001,2020-05-08,42,19
407,1002,2020-05-09,41,19
408,1003,2020-05-07,3994,20
409,1004,2020-05-08,4497,20
410,1005,2020-05-09,4809,20
411,1006,2020-05-10,1218,12
412,1007,2020-05-11,1356,12
413,1008,2020-05-12,1504,12
414,1009,2020-05-10,135,13
415,1010,2020-05-11,135,13
416,1011,2020-05-12,135,13
417,1012,2020-05-10,1952,14
418,1013,2020-05-11,1971,14
419,1014,2020-05-12,2014,14
420,1015,2020-05-10,1353,15
421,1016,2020-05-11,1372,15
422,1017,2020-05-12,1394,15
423,1018,2020-05-10,54,16
424,1019,2020-05-11,54,16
425,1020,2020-05-12,54,16
426,1021,2020-05-10,61,17
427,1022,2020-05-11,63,17
428,1023,2020-05-12,63,17
429,1024,2020-05-10,29,18
430,1025,2020-05-11,30,18
431,1026,2020-05-12,30,18
432,1027,2020-05-10,45,19
433,1028,2020-05-11,50,19
434,1029,2020-05-12,51,19
435,1030,2020-05-10,5168,20
436,1031,2020-05-11,5621,20
437,1032,2020-05-12,6105,20
438,1033,2020-05-13,1534,12
439,1034,2020-05-13,138,13
440,1035,2020-05-13,2074,14
441,1036,2020-05-13,1413,15
442,1037,2020-05-13,54,16
443,1038,2020-05-13,66,17
444,1039,2020-05-13,30,18
445,1040,2020-05-13,52,19
446,1041,2020-05-13,6713,20
447,1096,2020-05-20,2215,12
448,1097,2020-05-21,2324,12
449,1098,2020-05-20,180,13
450,1099,2020-05-21,184,13
